id;name;partner_id;products
1;Assistant;57201;Money Market Account
2;wireless mint green;63267;Bedfordshire Security
3;Team-oriented;30527;index
4;Auto Loan Account;1585;functionalities
5;sky blue Consultant Malta;39244;deposit multi-byte indexing
6;Ball Extended;41861;Pa'anga Directives Direct
7;Villages fuchsia Administrator;9354;Uzbekistan Sum
8;artificial intelligence;69260;Ergonomic California withdrawal
9;invoice secondary database;30600;Tennessee deposit transmit
10;Ford;9251;Small Credit Card Account Chicken
